Subject Code,Course Number,Name,Description,Dept Code,Dept Description
LCA LANG,429,Intermediate Summer Immersion Turkish,Intermediate level Turkish language taught in an 8-week residential summer language immersion format. Open only to students who have been admitted separately to the summer Turkish immersion program.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,431,Third Semester Kazak,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,432,Fourth Semester Kazak,Continuation of third semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,433,Third Semester Pashto,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,434,Fourth Semester Pashto,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,437,Third Semester Sinhala,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,438,Fourth Semester Sinhala,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,439,Third Semester Turkish,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,440,Fourth Semester Turkish,Continuation of third semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,443,Third Semester Uzbek,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,444,Fourth Semester Uzbek,Continuation of third semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,445,Readings in Advanced Arabic Texts,Selection from Quranic and post-Quranic Arabic texts to meet the needs of the students.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,446,Readings in Advanced Arabic Texts,None provided.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,449,Third Semester Bengali,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,450,Fourth Semester Bengali,Continuation of third semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,451,Third Semester Gujarati,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative aproaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,452,Fourth Semester Gujarati,Continuation of third semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,453,Third Semester Hindi,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,454,Fourth Semester Hindi,Continuation of third semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,459,Third Semester Marathi,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,463,Third Semester Persian,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,464,Fourth Semester Persian,Continuation of third semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,467,Third Semester Telugu,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,468,Fourth Semester Telugu,Continuation of third semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,469,Third Semester Modern Tibetan,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,470,Fourth Semester Modern Tibetan,Continuation of third semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,471,Third Semester Urdu,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,472,Fourth Semester Urdu,Continuation of third semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,473,Third Semester Malayalam,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,474,Fourth Semester Malayalam,"Proficiency at the intermediate level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,475,Third Semester Sanskrit,None provided.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,476,Fourth Semester Sanskrit,None provided.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,503,Fifth Semester Burmese,"Proficiency at the advanced level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,504,Sixth Semester Burmese,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,505,Fifth Semester Filipino,"Proficiency at the advanced level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,506,Sixth Semester Filipino,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,507,Fifth Semester Hmong,"Proficiency at the advanced level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,508,Sixth Semester Hmong,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,509,Fifth Semester Indonesian,"Proficiency at the advanced level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,510,Sixth Semester Indonesian,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,513,Fifth Semester Khmer,"Proficiency at the advanced level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,514,Sixth Semester Khmer,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,515,Fifth Semester Lao,"Proficiency at the advanced level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,516,Sixth Semester Lao,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,517,Fifth Semester Thai,"Proficiency at the advanced level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,518,Sixth Semester Thai,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,519,Fifth Semester Vietnamese,"Proficiency at the advanced level in listening, speaking, reading and writing, using commnicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,520,Sixth Semester Vietnamese,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,527,Advanced Summer Immersion Arabic,Advanced level Arabic language taught in an 8-week residential summer language immersion format. Open only to students who have been admitted separately to the summer Arabic immersion program.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,528,Advanced Summer Immersion Persian,Advanced level Persian language taught in an 8-week residential summer language immersion format. Open only to students who have been admitted separately to the summer Persian immersion program.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,529,Advanced Summer Immersion Turkish,Advanced level Turkish language taught in an 8-week residential summer language immersion format. Open only to students who have been admitted separately to the summer Turkish immersion program.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,531,Fifth Semester Kazak,"Proficiency at the advanced level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,532,Sixth Semester Kazak,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,539,Fifth Semester Turkish and Azeri,"Proficiency at the advanced level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,540,Sixth Semester Turkish and Azeri,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,553,Fifth Semester Hindi,"Proficiency at the advanced level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,554,Sixth Semester Hindi,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,563,Fifth Semester Persian,"Proficiency at the advanced level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,564,Sixth Semester Persian,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,571,Fifth Semester Urdu,"Proficiency at the advanced level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,572,Sixth Semester Urdu,Continuation of fifth semester.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,601,Seventh Semester Asian Language,"Proficiency at the advanced high level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,602,Eighth Semester Asian Language,"Proficiency at the advanced high level in listening, speaking, reading and writing, using communicative approaches.",522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,631,Advanced Readings in Turkic Languages,Advanced Readings in Turkic Languages,522,LANG & CULTURES OF ASIA - LANG
LCA LANG,644,Readings in Otoman Turkish and Chagatay,"Introduction to the Arabic script; grammatical features of Middle Turkic; study of texts in Ottoman Turkish, Chagatay, and later literary dialects (Arabic-script Turkish, Azeri, Uzbek, Tatar).  ",522,LANG & CULTURES OF ASIA - LANG
LCA LANG,653,Advanced Readings in Hindi Language,Advanced Readings in Hindi Language,522,LANG & CULTURES OF ASIA - LANG
LCA LANG,675,Advanced Readings in Sanskrit,None provided.,522,LANGUAGES AND CULTURES OF ASIA - LANGUAGES
LCA LANG,677,Advanced Readings in Tibetan,Readings in a wide variety of genres from various historical periods; texts include cursive manuscripts.  ,522,LANG & CULTURES OF ASIA - LANG
LEGAL ST,131,Criminal Justice in America,"Day-to-day functioning of the elements of the criminal justice system in the U.S. Nature of crime in the U.S., ideas about causes and solutions. Emphasis on the sociology of the components of criminal justice system--organization and roles of police, lawyers, court and correctional personnel.",535,LEGAL STUDIES
LEGAL ST,217,"Law, Politics and Society","Introduction to the legal process. Examination of the various concepts of law, the perennial problems of the law, legal reasoning, and the nature and function of law and the courts.",535,LEGAL STUDIES
LEGAL ST,261,American Legal History to 1860,"This course surveys the development of American law down to the U.S. Civil War. After a review of the English historical background, it examines how law changed in colonial America, culminating in the framing of the U.S. Constitution. It then explores how territorial expansion, democracy, and slavery shaped nineteenth-century American law. Emphasis is on how law interacts with political, social, and cultural change, with a focus on the origins of modern civil and constitutional rights.",535,LEGAL STUDIES
LEGAL ST,262,"American Legal History, 1860 to the Present","This course surveys the development of American law from the Civil War to the early Twenty-First Century. After a review of the U.S. Constitution and its modification by the Civil War amendments, it examines the legal dimensions of such topics as race relations and the Civil Rights movement, the growth of modern business, the New Deal, labor rights, the women's movement, the individual rights revolution of the postwar period, and the contemporary conservative reaction. Emphasis is on how law interacts with political, social, and cultural change.",535,LEGAL STUDIES
LEGAL ST,400,Topics in Legal Studies and the Social Sciences,"This course can be repeated by students, but not with the same content.",535,LEGAL STUDIES
LEGAL ST,405,Foundations of Field Education,"This course is designed as a preparatory course for an advanced learning opportunity via an extensive, hands-on internship at a community criminal or juvenile justice agency.",535,LEGAL STUDIES
LEGAL ST,409,Human Rights in Law and Society,"Introduction to the theory, the politics and the sociology of human rights. Main themes: international human rights legal regime, questions of why human rights have become 'legalized,' and what the consequences of this legalization are on the ground.",535,LEGAL STUDIES
LEGAL ST,415,The Legal Profession,"History, structure, and functioning of legal professions in the United States and in other countries around the world.  ",535,LEGAL STUDIES
LEGAL ST,422,Women and the Law,"Legal system, laws, and proposed legislation that have specific impact on the lives of women. Topics investigated in both the social and legal contexts.",535,LEGAL STUDIES
LEGAL ST,426,The History of Punishment,"This course examines punishment across a vast range of historical traditions, examining how wrongdoing and punishment have been figured in law, literature, art and philosophy. Through the semester we will examine ancient, medieval and modern traditions.  ",535,LEGAL STUDIES
LEGAL ST,430,Law and Environment: Historical and Contemporary Perspectives,"Explores environmental studies through a focus on law and legal history. Although its main concentration is on U.S. environmental law, the course will begin and end with broader historical and global perspectives. Topics include a survey the English, European, and early American legal approaches to land use, natural resources, and pollution through World War II as well as an examination of the development and practice of contemporary U.S. environmental law and consideration of the recent emergence of international environmental law.",535,LEGAL STUDIES
LEGAL ST,444,Law in Action,"A review of the interaction of law (judicial decisions, legislation, administrative actions) with public policy by studying the approaches used to resolve a number of significant issues by use of law and examining the actual impact of such efforts.",535,LEGAL STUDIES
LEGAL ST,450,Topics in Legal Studies and the Humanities,"Topics courses will address a variety of issues linking various humanities perspectives to the central themes of law and legal institutions. This course may be repeated by studens, but not with the same content.",535,LEGAL STUDIES
LEGAL ST,460,"Surveillance, Privacy, and Police Powers","Examines individual privacy and government information collection in law enforcement, security, public health, administrative law, and other contexts from a variety of disciplinary perspectives.  ",535,LEGAL STUDIES
LEGAL ST,467,"Crime, Gender and Justice","Focuses on the intersection between gender, crime and justice from a cross-cultural perspective. The gendered nature of the criminal justice system, female experiences of crime, prosecution and incarceration as well as the extent to which women are victims, offenders, and participants in the criminal justice system will be explored. Special emphasis will be placed on the theoretical implications of offending behavior and the intersection of gender with sexuality, race, ethnicity and class. The goal of this course is to provide a foundation for critically assessing the often controversial issues surrounding race, gender, crime, and criminal justice in society.",535,LEGAL STUDIES
LEGAL ST,510,Legal Pluralism,"Historical and anthropological perspectives on non-state 'law,' or systems of rules generated by normative orders that lay beyond the state; case studies include the mafia, Tokyo tuna traders' court, orthodox Jewish diamond merchants, California gold miners' courts, Inuit song dueling.",535,LEGAL STUDIES
LEGAL ST,600,Special Topics in Legal Studies,"Special seminars are designed for opportunities such as short international seminar courses, the summer forum, and other secial opportunities.",535,LEGAL STUDIES
LEGAL ST,641,Sociology of Law,"Theory and research on the social origins, processes and effects of law; examination of law-related behavior, legal institutions, law and social structure, and law and social change; linkage to contemporary theoretical and political debates.",535,LEGAL STUDIES
LEGAL ST,645,Intellectual Freedom,"An examination of intellectual freedom in the United States including censorship, minors' rights, the Internet, privacy, and copyright with focus on theoretical questions related to the First Amendment to the U.S. Constitution, and historical developments.",535,LEGAL STUDIES
LEGAL ST,650,Advanced Seminar in Legal Studies,A topics seminar typically taught by a member of the Law School faculty. The course may be taught on a 'meets with' basis with a Law School topics course or seminar.,535,LEGAL STUDIES
LEGAL ST,663,Introduction to Cyberlaw,This is an introductory course in the law of cyberspace. The emphasis is on critical thinking about a broad variety of legal and policy problems that arise because of ever-changing information and communication technologies.,535,LEGAL STUDIES
LEGAL ST,681,Senior Honors Thesis,Individual study for majors writing theses for honors degree.,535,LEGAL STUDIES
LEGAL ST,682,Senior Honors Thesis,Individual study for majors writing theses for honors degree.,535,LEGAL STUDIES
LEGAL ST,691,Senior Thesis,Individual study for majors writing senior thesis (nonhonors).,535,LEGAL STUDIES
LEGAL ST,692,Senior Thesis,Individual study for majors writing senior thesis (nonhonors).,535,LEGAL STUDIES
LEGAL ST,694,Criminal Justice Field Observation,Field placements and seminar sessions to develop sociological understanding of criminal justice processes. Placement in criminal justice agencies and lectures and discussions applying concepts and theories to field experience.,535,LEGAL STUDIES
LEGAL ST,699,Directed Study,Directed study in legal studies.,535,LEGAL STUDIES
LINGUIS,101,Human Language,"Elementary theory and practical work in phonetics, phonology, morphology, and syntax, with attention to formal grammar.",550,LINGUISTICS
LINGUIS,103,"Language, History, and Society","Relation of variation and change to formal properties of human language; consideration of linguistic typology, basic concepts and methods of diachronic analysis. Topics include: language classification; language and social identity, geography, power and prestige; language contact; registers; writing systems.",550,LINGUISTICS
LINGUIS,211,Global Language Issues,"A series of modules, each showcasing one language and its culture. Each module tackles a major issue about language, such as extinction and revival, language and nationhood, how widely and deeply languages differ, language and wordview, writing systems and literacy, language discrimination and inequality.",550,LINGUISTICS
LINGUIS,237,Language & Immigration in Wisconsin,"Migration from abroad and other parts of North America brought and continues to bring myriad languages and dialects to Wisconsin. How and when did these immigrants and their descendants learn English and when and why did they begin to speak only English? How have immigrants shaped how English is spoken in the state? We will do hands-on, original research to find answers to these and related questions about immigrant languages and English past and present in Wisconsin. We'll examine social and historical issues and issues of linguistic structure, drawing on local histories, archival data, Census records and audio recordings and there are opportunities to do fieldwork in communities across the state and the region.",550,LINGUISTICS
LINGUIS,301,Introduction to Linguistics: Descriptive and Theoretical,"Elementary theory and practical work in phonetics, phonology, morphology, and syntax, with attention to formal grammar.",550,LINGUISTICS
LINGUIS,303,"Language, History, and Society","Relation of variation and change to formal properties of human language; consideration of linguistic typology, basic concepts and methods of diachronic analysis. Topics include: language classification; language and social identity, geography, power and prestige; language contact; registers; writing systems.",550,LINGUISTICS
LINGUIS,306,General Phonetics,"Theory of articulatory phonetics; practice in recognition, reproduction, and transcription of speech sounds and features in various languages.",550,LINGUISTICS
LINGUIS,309,Grammatical Variability of Language,"Introduction to theories of variation among world languages, focusing on syntactic phenomena.",550,LINGUISTICS
LINGUIS,310,Phonology,Analysis and formal statement of phonological systems; problems and methods of phonological theory.,550,LINGUISTICS
LINGUIS,322,Morphology,Morphological characteristics of the world's languages. Introduction to theoretical approaches to morphology. Interaction between morphology and syntax; morphology and phonology.,550,LINGUISTICS
LINGUIS,330,Syntax,Grammatical theory; types of elements and processes usable in syntactic description of various sorts.,550,LINGUISTICS
LINGUIS,340,Semantics,"Meaning in natural languages, relationship between syntax and semantics, compositional semantics.",550,LINGUISTICS
LINGUIS,371,Survey of North American Indian Languages,Survey of North American Indian Languages,550,LINGUISTICS
LINGUIS,373,Topics in Linguistics,Topic varies with instructor. May be repeated.,550,LINGUISTICS
LINGUIS,426,Field Methods I,"Collection and analysis of phonetic, phonological, and morphological data from a particular language, using one or more speakers as consultants.  ",550,LINGUISTICS
LINGUIS,427,Field Methods II,"Collection and analysis of morphological, syntactic, and semantic data from a particular language, using one or more speakers as consultants.",550,LINGUISTICS
LINGUIS,430,Language and Culture,The relationship of language as a communication system to the culture transmitted by it. Principle problems in the interrelations of language and nonlinguistic human behavior.,550,LINGUISTICS
LINGUIS,481,Junior Honors Tutorial,May be repeated for credit.,550,LINGUISTICS
LINGUIS,482,Junior Honors Tutorial,None provided.,550,LINGUISTICS
LINGUIS,510,Phonological Theories,"Theories of phonology, and advanced phonological description.",550,LINGUISTICS
LINGUIS,522,Advanced Morphology,Advanced morphological theory.,550,LINGUISTICS
LINGUIS,530,Syntactic Theories,"Theories of syntax, and syntactic description. The relation of syntax to semantics, and other aspects of linguistic theory.",550,LINGUISTICS
LINGUIS,561,Introduction to Experimental Phonetics,"Design and conduct of phonetic experiments; survey of instrumentation and techniques of investigating physiological, physical, and perceptual aspects of linguistic phenomena. Theory of acoustic phonetics. Lectures, demonstrations, lab, readings.",550,LINGUISTICS
LINGUIS,571,Structure of a Language,In-depth study of all components of the grammar of a language.,550,LINGUISTICS
LINGUIS,583,Senior Honors Tutorial,None provided.,550,LINGUISTICS
LINGUIS,584,Senior Honors Tutorial,None provided.,550,LINGUISTICS
LINGUIS,610,Topics in Phonological Theory,In-depth examination of a single phonological theory or a single area of recent phonological research. May be repeated for different topics.,550,LINGUISTICS
LINGUIS,681,Honors Seminar-Senior Thesis,None provided.,550,LINGUISTICS
LINGUIS,682,Honors Seminar-Senior Thesis,None provided.,550,LINGUISTICS
LINGUIS,699,Independent Reading,None provided.,550,LINGUISTICS
LINGUIS,800,Research Methods and Materials,None provided.,550,LINGUISTICS
LINGUIS,977,Seminar,See Linguistics 976 for course description.,550,LINGUISTICS
LINGUIS,979,Seminar,See Linguistics 976 for course description.,550,LINGUISTICS
LINGUIS,990,Thesis,Research in connection with the doctoral thesis.,550,LINGUISTICS
LINGUIS,999,Independent Reading,None provided.,550,LINGUISTICS
LITTRANS,201,Survey of 19th and 20th Century Russian Literature in Translation I,Pushkin to Tolstoy; reading and lecture in English.,551,LITERATURE IN TRANSLATION
LITTRANS,202,Survey of 19th and 20th Century Russian Literature in Translation II,"Dostoevsky to the present, reading and lecture in English.",551,LITERATURE IN TRANSLATION
LITTRANS,203,Survey of 19th and 20th Century Russian Literature in Translation I,Pushkin to Tolstoy; reading and lecture in English; 4th hour discussion section for Communication-B credit.,551,LITERATURE IN TRANSLATION
LITTRANS,204,Survey of 19th and 20th Century Russian Literature in Translation II,Chekhov to the present; reading and lecture in English; 4th hour discussion section for Communication-B credit.,551,LITERATURE IN TRANSLATION
LITTRANS,205,Women in Russian Literature in Translation,None provided.,551,LITERATURE IN TRANSLATION
LITTRANS,207,Slavic Science Fiction through Literature and Film,"Science Fiction (SF) is typically thought of as an American (or American-British) genre. This course explores the rich tradition of Slavic contributions to SF. We will survey early and contemporary works in the Czech, Polish, and Russian contexts, most of which are little known in the US but are nonetheless fundamental to SF as a world genre. Alongside reading these works, we will discuss and analyze film adaptations that have, in some cases, become more famous than written texts themselves.",551,LITERATURE IN TRANSLATION
LITTRANS,208,The Writings of Vaclav Havel: Crtitique of Modern Society,"Survey and critical analysis of the writings of Vaclav Havel from the 1960's through the 1990's: plays, philosophical and dissident essays, selected speeches as president. Readings in English.  ",551,LITERATURE IN TRANSLATION
LITTRANS,209,Masterpieces of French Literature and Culture,"The entire span of French literature from the Middle Ages to the present as well as selected Francophone writers. Emphasis on literary movements and their cultural settings. Major authors will include Montaigne, Voltaire, Stendhal, Proust, de Beauvoir.",551,LITERATURE IN TRANSLATION
LITTRANS,211,Modern Indian Literatures in Traslation,"Introduction for intermediate and advanced students to the systematic study of the literatures of India produced since about A.D. 1800, using a selection of poetry, fiction, drama, and/or nonfictional prose in translation from representative literary languages of the subcontinent.  ",551,LITERATURE IN TRANSLATION
LITTRANS,214,Literatures of Central Asia in Translation,Critical survey of the development of medieval and modern literatures of the peoples of Central Asia from pre-Islamic times to the present with selected readings in English translation.,551,LITERATURE IN TRANSLATION
LITTRANS,215,Polish Literature in Translation: 14th to the Mid-19th Century,"The Beginnings, Baroque, Enlightenment and Romanticism.  ",551,LITERATURE IN TRANSLATION
LITTRANS,218,Polish Literature in Translation: Late 19th and 20th Centuries,A survey of the main currents in Polish literature since 1863.,551,LITERATURE IN TRANSLATION
LITTRANS,220,Chekhov in Translation,None provided.,551,LITERATURE IN TRANSLATION
LITTRANS,221,Gogol in Translation,Gogol in Translation,551,LITERATURE IN TRANSLATION
LITTRANS,222,Dostoevsky in Translation,"Major works, lecture in English.",551,LITERATURE IN TRANSLATION
LITTRANS,223,Vladimir Nabokov: Russian and American Writings,"The major novels of Vladimir Nabokov studied in the context of Russian and American literatures. Nabokov as a quintessential artist in exile, whose work explores loss of language, country and home.",551,LITERATURE IN TRANSLATION
LITTRANS,224,Tolstoy in Translation,"Major works, lecture in English.  ",551,LITERATURE IN TRANSLATION
LITTRANS,226,Introduction to Luso-Afro-Brazilian Literature,"Introduction to the cultural and literary practices of the Portuguese-speaking world. Readings include novels, short stories, and poetry from Portugal, Brazil, and Lusophone Africa. All readings and lectures in English.",551,LITERATURE IN TRANSLATION
LITTRANS,227,Introduction to Biblical Literature (in English),"Introduction to the literature and literary history of the Old Testament, Apocrypha, Dead Sea Scrolls, Talmud, and Midrashim.",551,LITERATURE IN TRANSLATION
LITTRANS,229,Representation of the Jew in Eastern European Cultures,"The image and representation of the 'Jew' and Jews in the literatures and cultures of the Slavic countries of Eastern Europe, including Russia, Poland, Serbia, Croatia, and Bosnia. Both pre- and post-Holocaust texts will be read and critically examined.",551,LITERATURE IN TRANSLATION
LITTRANS,231,Manga,"Surveys the manga (Japanese comicbook) from precursors in premodern woodblock-printed booklets to contemporary manifestations in subgenres like gekiga, mecha, shonen, and shojo. Draws on critical writings on literature, popular culture, and visual culture. Japanese language proficiency is not required.",551,LITERATURE IN TRANSLATION
LITTRANS,232,Anime,"Surveys anime (Japanese animation) from 1930s shorts through contemporary feature-length, experimental, and televised serial-form productions. Draws on critical writings on postmodernism, digital cinema, and visual culture. Japanese language ability is not required.",551,LITERATURE IN TRANSLATION
LITTRANS,233,Russian Life and Culture Through Literature and Art (to 1917),"Prerevolutionary Russian visual arts, architecture, music and cinema; provides an inside view of life in prerevolutionary Russia with the help of selected readings in Russian literature.",551,LITERATURE IN TRANSLATION
LITTRANS,234,Soviet Life and Culture Through Literature and Art (from 1917),"Postrevolutionary Russian and Soviet visual arts, architecture, music and cinema; provides an inside view of life under socialism with the help of selected readings in Soviet literature.",551,LITERATURE IN TRANSLATION
LITTRANS,235,The World of Sagas,"The Icelandic sagas viewed in their social, cultural, and literary contexts. An introduction to one of the greatest bodies of vernacular literature of the early Middle Ages.  ",551,LITERATURE IN TRANSLATION
LITTRANS,236,Bascom Course-In Translation,"A low-enrollment course developing skills in critical reading, logical thinking, use of evidence, and use of library resources. Emphasis on writing in the conventions of specific fields.",551,LITERATURE IN TRANSLATION
LITTRANS,240,Soviet Literature in Translation,Lecture in English.  ,551,LITERATURE IN TRANSLATION
LITTRANS,241,Literatures and Cultures of Eastern Europe,"Introduction to the literature, culture, and art of Eastern Europe.",551,LITERATURE IN TRANSLATION
LITTRANS,247,Topics in Slavic Literatures in Translation,"Exploration of periods, genres, individual writers, themes, problems, ect. in Russian and Eastern European literature.",551,LITERATURE IN TRANSLATION
LITTRANS,249,Literature in Translation: Nineteenth-Century French Masterpieces,Literature in Translation: Nineteenth-Century French Masterpieces,551,LITERATURE IN TRANSLATION
LITTRANS,252,Spanish Literary Masterpieces in Translation,"Major works of Spanish Peninsular literature in prose, drama and poetry. Readings and instruction will be in English.",551,LITERATURE IN TRANSLATION
LITTRANS,253,Literature in Translation: Dante's Divine Comedy,None provided.,551,LITERATURE IN TRANSLATION
LITTRANS,254,"In Translation: Lit of Modern Italy-Existentialism, Fascism, Resistance",None provided.,551,LITERATURE IN TRANSLATION
LITTRANS,255,Literature in Translation: Boccaccio's Decameron-The Human Comedy,None provided.,551,LITERATURE IN TRANSLATION
LITTRANS,260,Italy and the Invention of America: from Columbus to World War II,Focuses on the central role played by Italy in the European vision of America between Columbus's voyages and the Second World War.,551,LITERATURE IN TRANSLATION
LITTRANS,261,Survey of Chinese Literature in Translation,"A critical introduction to the literature of China throughout the ages. Most representative traditional and modern works of Chinese poetry, fiction and drama. Two semesters may be taken independently.",551,LITERATURE IN TRANSLATION
LITTRANS,262,Survey of Chinese Literature in Translation,Continuation of 261.,551,LITERATURE IN TRANSLATION
LITTRANS,263,Survey of Japanese Literature in Translation,A historical introduction to the important literary works of Japan. The first semester: the literary tradition before the restoration of 1868; the second semester: the literature of Japan during the last century. These two semesters may be taken independently.,551,LITERATURE IN TRANSLATION
LITTRANS,264,Survey of Japanese Literature in Translation,Continuation of 263.,551,LITERATURE IN TRANSLATION
LITTRANS,268,French Women Writers from the Middle Ages to the Nineteenth Century,"Representative texts of French women writers from Marie de France, the women troubadours, and Christine de Pizan to Madame de Stael and George Sand, in historical, social, and cultural context.",551,LITERATURE IN TRANSLATION
